"respondentid","RCa10","WA01_c","WA02_c","WA03_c","WA04_c","WA07_c","WB01_c","WB04_c","WB05_c","WC03_c","WC04_c","WC05_c","WC06_c","WD01_c","WD02_c","WE01_c","WFa01_c","WFa02_c","WFa03_c","WFb02_c","WFc01_c","WFC02_c","WG01_c","WG02_c","WHb01_c","WHc01_c","WHc02_c","WHd01_c","RD01_c","ABo04_c","ABo05_c","ABo06_c","ABo07_c","ABo08_c","ABo09_c","ABo10_c","ABo11_c","ABo12_c","ABo13_c","ABo14_c","ABo15_c","CA02_c","CBa01_c","CBa02_c","CBb01_c","CCa02_c","CDa05_c","CDb01_c","CDd01_c","CDd04_c","CEa01_c","CFb01_c","EB01_c","EC01_c","ED01_c","EE01_c","KB01_c","KF03_c","MA01_c","MA04_c","MB01_c","MB02_c","MB03_c","SB01_c","SB02_c"
10600655,"Yes","female",80,"high school diploma or equivalent","$10,000 to less than $15,000",NA,"retired",NA,"no union members in household","black, african american, or black hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"widowed",NA,"ohio (oh)","urban","no",1,"heterosexual or straight","yes","no",NA,"kerry","moderate",10,10,8,10,NA,NA,10,10,8,NA,"no",NA,"somewhat better","same","cut taxes","increase competition","strongly oppose","withdraw as soon as possible","somewhat favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","three hours but less than four",0,7,NA,0,NA,"democrat","moderate","some of the time","somewhat disagree","somewhat agree",NA,NA
10600989,"Yes","female",48,"four-year college degree","$150,000 or more",NA,"working full time","work for someone else","yes, respondent","black, african american, or black hispanic","yes",NA,NA,"more than once a week","other type of christian","yes, other household member",4,0,"married",NA,"texas (tx)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",10,10,9,8,NA,NA,10,8,10,NA,"no",NA,"somewhat better","somewhat better","raise taxes if necessary","increase regulation","neither favor nor oppose","set withdrawal deadline","strongly oppose","strongly oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",0,3,"several hours per day",7,NA,"democrat","somewhat liberal","most of the time","strongly disagree","strongly disagree",NA,NA
10601758,"Yes","female",27,"some college, no degree","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","black, african american, or black hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"never married",NA,"virginia (va)","suburban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",9,10,8,8,NA,NA,10,10,10,NA,"no",NA,"same","somewhat better","raise taxes if necessary","increase regulation","somewhat favor","withdraw as soon as possible","somewhat oppose","somewhat favor","available to anyone","more important to keep economy growing","none",1,1,"almost every day",2,NA,"democrat","very liberal","never","somewhat disagree","somewhat disagree",NA,NA
10602080,"No","male",85,"some college, no degree","$50,000 to less than $75,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, respondent",1,0,"married",NA,"washington (wa)","rural","no",1,"heterosexual or straight","yes","no",NA,"bush","very conservative",2,0,2,3,NA,NA,3,0,0,NA,"no",NA,"same","same","keep taxes as they are","neither","strongly oppose","keep troops until stable government","strongly favor","strongly favor","none of these","more important to keep economy growing","less than one hour",0,0,NA,0,NA,"republican","very conservative","some of the time","strongly agree","strongly agree",NA,NA
10602151,"No","female",51,"graduate or professional school after college, no degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",3,1,"married",NA,"pennsylvania (pa)","suburban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",3,3,4,4,NA,NA,3,1,4,NA,"no",NA,"somewhat worse","somewhat better","cut taxes","increase regulation","somewhat favor","set withdrawal deadline","strongly oppose","somewhat favor","don't know","more important to keep economy growing","two hours but less than three",0,7,"several hours per day",5,NA,"republican","moderate","some of the time","strongly agree","strongly agree",NA,NA
10602170,"Yes","male",80,"some high school, no diploma","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",1,0,"widowed",NA,"georgia (ga)","suburban","no",1,"heterosexual or straight","yes","no",NA,"kerry","moderate",8,3,5,5,NA,NA,5,5,5,NA,"no",NA,"much better","much better","keep taxes as they are","increase competition","strongly oppose","withdraw as soon as possible","strongly oppose","strongly favor","not permitted under any circumstances","both equally","one hour but less than two",7,0,NA,1,NA,"democrat","moderate","never","strongly agree","strongly agree",NA,NA
10602409,"No","male",62,"four-year college degree","$25,000 to less than $35,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","no one in household has served",2,0,"married",NA,"alabama (al)","rural","yes",3,"heterosexual or straight","yes","no",NA,"bush","very liberal",2,5,0,3,NA,NA,4,0,0,NA,"no",NA,"somewhat better","much better","cut taxes","increase competition","strongly oppose","keep troops until stable government","strongly favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",0,7,"almost every day",7,NA,"independent","somewhat conservative","some of the time","strongly disagree","strongly disagree",NA,NA
10602922,NA,"male",62,"grade 8 or lower","don't know",NA,"temporarily unemployed",NA,"yes, both","hispanic, no race given","no","no",23,"never","catholic","no one in household has served",1,0,"married",NA,"california (ca)","suburban","no",1,"heterosexual or straight","no",NA,NA,"did not vote for president","somewhat liberal",8,8,10,10,NA,NA,8,8,10,NA,"no",NA,"somewhat better","same","raise taxes if necessary","increase regulation","somewhat oppose","withdraw as soon as possible","strongly oppose","strongly oppose","available with stricter limits","environment should be top priority","none",0,0,NA,0,NA,"democrat","very conservative","some of the time","strongly agree","somewhat agree",NA,NA
10603203,"Yes","male",55,"graduate or professional school after college, no degree","$150,000 or more",NA,"working part time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","catholic","no one in household has served",2,3,"married",NA,"new hampshire (nh)","suburban","yes",2,NA,"yes","no",NA,"kerry","somewhat liberal",8,8,2,9,NA,NA,10,10,6,NA,"no",NA,"somewhat better","somewhat better","raise taxes if necessary","increase regulation","strongly favor","withdraw as soon as possible","somewhat favor","somewhat favor","available with stricter limits","environment should be top priority","two hours but less than three",4,7,"several hours per day",7,NA,"democrat","moderate","some of the time","strongly disagree","somewhat agree",NA,NA
10603781,"Yes","male",75,"high school diploma or equivalent","$10,000 to less than $15,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","yes, respondent",1,0,"widowed",NA,"new jersey (nj)","suburban","no",1,NA,"no",NA,NA,"kerry","very conservative",9,9,9,9,NA,NA,8,9,8,NA,"no",NA,"somewhat better","much better","cut taxes","increase competition","strongly oppose","withdraw as soon as possible","strongly oppose","strongly favor","not permitted under any circumstances","more important to keep economy growing","five hours",7,7,NA,0,NA,"democrat","somewhat conservative","some of the time","strongly agree","strongly agree",NA,NA
